[0.000000] (-) TimerEvent: {}
[0.001494] (-) JobUnselected: {'identifier': 'ros2srrc_robots'}
[0.001506] (-) JobUnselected: {'identifier': 'ros2srrc_ur10e_gazebo'}
[0.001518] (-) JobUnselected: {'identifier': 'ros2srrc_ur10e_moveit2'}
[0.001530] (-) JobUnselected: {'identifier': 'ros2srrc_ur16e_gazebo'}
[0.001542] (-) JobUnselected: {'identifier': 'ros2srrc_ur16e_moveit2'}
[0.001553] (-) JobUnselected: {'identifier': 'ros2srrc_ur3_gazebo'}
[0.001565] (-) JobUnselected: {'identifier': 'ros2srrc_ur3_moveit2'}
[0.001577] (-) JobUnselected: {'identifier': 'ros2srrc_ur5_gazebo'}
[0.001588] (-) JobUnselected: {'identifier': 'ros2srrc_ur5_moveit2'}
[0.001600] (-) JobUnselected: {'identifier': 'rosparam_shortcuts'}
[0.001612] (-) JobUnselected: {'identifier': 'rviz_marker_tools'}
[0.001624] (-) JobUnselected: {'identifier': 'srdfdom'}
[0.001637] (-) EventReactorShutdown: {}
